F46,460743
"F46,F34",48999
"F46,F34,F25",24646
"F46,F34,F21",24646
"F46,F34,F21,F25",24646
"F46,F34,F1",24353
"F46,F34,F1,F10",24353
"F46,F34,F10",24353
"F46,F25",28832
"F46,F24",105387
"F46,F22",10978
"F46,F15",53168
"F46,F15,F12",24593
"F46,F0",20600
"F46,F9",29026
"F46,F9,F19",24840
"F46,F9,F19,F11",24840
"F46,F9,F11",24840
"F46,F12",109133
"F46,F17",24684
"F46,F17,F7",24684
"F46,F7",49259
"F46,F7,F15",24575
"F46,F21",55943
"F46,F21,F25",24646
"F46,F21,F12",31297
"F46,F21,F26",24433
"F46,F21,F26,F12",24433
"F46,F36",77734
"F46,F36,F12",24460
"F46,F36,F3",24562
"F46,F36,F3,F11",24562
"F46,F36,F1",24460
"F46,F36,F1,F12",24460
"F46,F36,F1,F13",24460
"F46,F36,F1,F13,F12",24460
"F46,F36,F13",24460
"F46,F36,F13,F12",24460
"F46,F36,F16",24522
"F46,F36,F11",24562
"F46,F19",56293
"F46,F19,F24",24641
"F46,F19,F11",24840
"F46,F5",24786
"F46,F13",49246
"F46,F13,F12",24460
"F46,F13,F5",24786
"F46,F13,F16",24786
"F46,F13,F16,F5",24786
"F46,F3",24562
"F46,F3,F11",24562
"F46,F1",48813
"F46,F1,F12",24460
"F46,F1,F13",24460
"F46,F1,F13,F12",24460
"F46,F1,F10",24353
"F46,F37",56025
"F46,F37,F24",24616
"F46,F37,F12",24597
"F46,F37,F35",24597
"F46,F37,F35,F12",24597
"F46,F37,F35,F6",24597
"F46,F37,F35,F6,F12",24597
"F46,F37,F6",24597
"F46,F37,F6,F12",24597
"F46,F37,F33",24616
"F46,F37,F33,F24",24616
"F46,F4",24696
"F46,F4,F24",24696
"F46,F4,F16",24696
"F46,F4,F16,F24",24696
"F46,F16",80817
"F46,F16,F24",24696
"F46,F16,F5",24786
"F46,F26",38257
"F46,F26,F12",24433
"F46,F18",24641
"F46,F18,F24",24641
"F46,F18,F19",24641
"F46,F18,F19,F24",24641
"F46,F10",49139
"F46,F10,F5",24786
"F46,F10,F13",24786
"F46,F10,F13,F5",24786
"F46,F10,F13,F16",24786
"F46,F10,F13,F16,F5",24786
"F46,F10,F16",24786
"F46,F10,F16,F5",24786
"F46,F35",49437
"F46,F35,F9",24840
"F46,F35,F9,F19",24840
"F46,F35,F9,F19,F11",24840
"F46,F35,F9,F11",24840
"F46,F35,F12",24597
"F46,F35,F19",24840
"F46,F35,F19,F11",24840
"F46,F35,F6",24597
"F46,F35,F6,F12",24597
"F46,F35,F11",24840
"F46,F6",28597
"F46,F6,F12",24597
"F46,F20",63083
"F46,F20,F15",24575
"F46,F20,F17",24684
"F46,F20,F17,F7",24684
"F46,F20,F7",49259
"F46,F20,F7,F15",24575
